512 	 511 	 10 	 0.30 
 
16	-24	0
113	-1	0
225	20	0
323	-38	0
414	6	0
505	-14	0
567	-9	0
697	-27	7
837	-16	7
866	9	7
997	1	7
1096	-17	7
1175	-3	7
1311	-14	5
1411	-15	5
1486	19	5
1613	-3	5
1703	-18	5
1797	32	5
1883	-22	5
1991	37	5
2109	-10	5
2204	31	5
2298	22	5
2392	5	3
2457	30	3
2601	14	3
2699	-16	3
2795	1	3
2931	-11	3
3024	-20	3
3114	35	3
-31	78	0
86	51	0
191	58	0
338	98	0
381	112	0
481	124	0
613	102	0
698	88	0
767	121	0
916	126	7
988	130	7
1076	127	7
1186	121	7
1272	81	7
1383	110	5
1500	95	5
1594	95	5
1726	93	5
1764	130	5
1924	61	5
1981	119	5
2085	102	5
2214	112	5
2325	101	3
2392	90	3
2468	121	3
2591	118	3
2695	95	3
2775	130	3
2868	142	3
2985	114	3
3093	108	3
-5	174	0
126	180	0
210	225	0
321	181	0
442	216	0
456	246	0
593	227	0
701	189	7
791	199	7
899	203	7
978	196	7
1117	154	7
1219	232	7
1294	211	7
1351	164	5
1484	201	5
1633	196	5
1665	212	5
1802	196	5
1907	224	5
2025	216	5
2060	205	5
2208	209	5
2283	242	3
2396	193	3
2541	173	3
2602	237	3
2680	223	3
2809	204	3
2915	197	3
2989	161	3
3085	178	3
24	270	0
104	335	0
220	311	0
276	300	0
393	297	0
488	271	0
586	308	0
692	293	0
794	287	0
932	341	7
978	318	7
1133	290	7
1169	294	7
1321	315	7
1410	294	5
1516	259	5
1581	293	5
1720	289	5
1797	310	5
1911	301	5
1998	294	5
2081	289	5
2191	285	5
2286	284	3
2367	312	3
2535	272	3
2618	273	3
2729	270	3
2808	318	3
2900	327	3
3032	297	3
3131	266	3
-23	377	0
147	385	0
191	385	0
316	416	0
366	402	0
509	412	0
616	395	0
721	401	0
786	393	0
895	407	7
993	431	7
1069	393	7
1205	442	7
1256	414	7
1391	366	5
1496	404	8
1591	393	5
1660	388	5
1834	418	5
1935	419	5
1992	378	5
2082	367	5
2199	428	5
2311	391	3
2381	407	3
2459	429	3
2589	428	3
2731	440	3
2792	430	3
2904	392	3
2980	415	3
3122	372	3
18	483	0
71	451	0
209	520	0
300	495	0
373	499	0
479	500	0
589	526	0
725	505	7
781	516	0
930	548	7
995	460	7
1083	523	6
1207	489	7
1302	525	7
1418	461	7
1498	532	5
1630	525	5
1704	472	5
1802	502	5
1896	493	5
2006	505	5
2102	516	5
2229	481	3
2325	517	3
2397	484	3
2527	461	3
